Date,Nest_ID,Clutch_number,Clutch_size,Egg_ID,Length,Width,Egg_order,Female,Hatching_success,Survival_success,Survival_success
2015-09-05,M,1,8,M7,53.48,36.45,7,A,1,0,Hatched
2015-09-05,M,1,8,M8,49.64,37.25,8,B,1,1,Survived
2015-09-06,O,1,6,O1,52.3,35.87,1,A,0,,Failed
2015-09-06,O,1,6,O2,50.32,36.72,2,A,0,,Failed
2015-09-06,O,1,6,O3,53.63,36.37,3,B,1,1,Survived
2015-09-06,O,1,6,O4,53.15,36.9,4,B,1,0,Hatched
2015-09-06,O,1,6,O5,51.69,35.6,5,A,1,0,Hatched
2015-09-06,O,1,6,O6,49.93,35.91,6,B,0,,Failed
2015-09-08,U,1,11,U1,50.29,36.44,1,A,0,,Failed
2015-09-08,U,1,11,U2,50.28,36.94,2,A,0,,Failed
2015-09-08,U,1,11,U3,49.4,35.79,3,B,1,0,Hatched
2015-09-08,U,1,11,U4,50.01,35.81,4,A,1,0,Hatched
2015-09-08,U,1,11,U5,50.04,34.74,5,B,1,1,Survived
2015-09-08,U,1,11,U6,51.25,36.51,6,A,1,0,Hatched
2015-09-08,U,1,11,U7,48.85,34.25,7,B,1,0,Hatched
2015-09-08,U,1,11,U8,49.34,34.81,8,A,0,,Failed
2015-09-08,U,1,11,U9,48.43,36.94,9,B,0,,Failed
2015-09-08,U,1,11,U10,47.94,36.21,10,A,1,0,Hatched
2015-09-08,U,1,11,U11,48.52,36.27,11,B,1,0,Hatched
2015-09-08,W,1,7,W1,54.38,39.5,1,A,1,0,Hatched
2015-09-08,W,1,7,W2,51.01,36.43,2,A,1,1,Survived
2015-09-08,W,1,7,W3,54.04,35.18,3,B,0,,Failed
2015-09-08,W,1,7,W4,54.15,38.98,4,A,0,,Failed
2015-09-08,W,1,7,W5,54.62,38.93,5,B,1,1,Survived
2015-09-08,W,1,7,W6,56.16,38.17,6,A,1,0,Hatched
2015-09-08,W,1,7,W7,55.95,37.33,7,B,1,0,Hatched
2015-09-08,X,1,11,X1,53.87,38.15,1,A,0,,Failed
2015-09-08,X,1,11,X2,51.85,35.53,2,B,0,,Failed
2015-09-08,X,1,11,X3,52.41,38.61,3,A,0,,Failed
2015-09-08,X,1,11,X4,53.44,37.9,4,A,1,0,Hatched
2015-09-08,X,1,11,X5,51.42,36.48,5,B,1,0,Hatched
2015-09-08,X,1,11,X6,52.01,37.46,6,B,1,1,Survived
2015-09-08,X,1,11,X7,51.46,35.58,7,A,1,0,Hatched
2015-09-08,X,1,11,X8,52.36,36.69,8,B,1,,Hatched
2015-09-08,X,1,11,X9,54.44,37.46,9,A,0,,Failed
2015-09-08,X,1,11,X10,53.38,34.71,10,B,0,,Failed
2015-09-08,X,1,11,X11,54.57,35.73,11,A,1,0,Hatched
2015-09-11,AA,1,5,AA1,49.3,37.48,1,A,1,0,Hatched
2015-09-11,AA,1,5,AA2,48.08,36.2,2,A,1,0,Hatched
2015-09-11,AA,1,5,AA3,50.17,37.26,3,A,1,1,Survived
2015-09-11,AA,1,5,AA4,47.85,37.69,4,A,0,,Failed
2015-09-11,AA,1,5,AA5,48.22,37.54,5,A,0,,Failed
2015-09-16,AE,1,6,AE1,51.18,38.42,1,A,1,1,Survived
2015-09-16,AE,1,6,AE2,54.31,37.57,2,B,1,0,Hatched
2015-09-16,AE,1,6,AE3,53.31,37.71,3,A,1,0,Hatched
2015-09-16,AE,1,6,AE4,54.08,38.03,4,B,0,,Failed
2015-09-16,AE,1,6,AE5,56.01,36.55,5,A,0,,Failed
2015-09-16,AE,1,6,AE6,54.1,35.87,6,B,0,,Failed
2015-09-16,AG,1,10,AG1,53.56,35.95,1,A,1,0,Hatched
2015-09-16,AG,1,10,AG2,51.67,36.37,2,A,1,0,Hatched
2015-09-16,AG,1,10,AG3,51.58,35.87,3,B,1,1,Survived
2015-09-16,AG,1,10,AG4,53.93,35.68,4,B,1,0,Hatched
2015-09-16,AG,1,10,AG5,52.99,35.68,5,A,1,0,Hatched
2015-09-16,AG,1,10,AG6,50.86,35.01,6,A,0,,Failed
2015-09-16,AG,1,10,AG7,51.89,36.01,7,B,0,,Failed
2015-09-19,AG,1,10,AG10,54.21,36.14,10,A,1,0,Hatched
2015-09-19,AG,1,10,AG8,54.93,37.05,8,B,1,0,Hatched
2015-09-19,AG,1,10,AG9,52.55,37.1,9,A,1,0,Hatched
2015-09-26,AK,1,10,AK1,53.06,37.1,1,A,1,1,Survived
2015-09-26,AK,1,10,AK10,51.67,37.93,10,B,0,,Failed
2015-09-26,AK,1,10,AK2,50.51,36.06,2,A,0,,Failed
2015-09-26,AK,1,10,AK3,52.16,36.06,3,B,1,1,Survived
2015-09-26,AK,1,10,AK4,51.39,35.04,4,A,1,0,Hatched
2015-09-26,AK,1,10,AK5,53.42,35.85,5,B,1,0,Hatched
2015-09-26,AK,1,10,AK6,53.41,36.99,6,A,0,,Failed
2015-09-26,AK,1,10,AK7,52.07,37.5,7,B,0,,Failed
2015-09-26,AK,1,10,AK8,51.59,36.83,8,A,0,,Failed
2015-09-26,AK,1,10,AK9,52.78,37.68,9,A,1,0,Hatched
2015-09-26,AL,1,9,AL1,48.56,38.64,1,A,1,0,Hatched
2015-09-26,AL,1,9,AL2,57.18,36.09,2,A,1,1,Survived
2015-09-26,AL,1,9,AL3,60.17,34.76,3,B,1,0,Hatched
2015-09-26,AL,1,9,AL4,56.62,35.36,4,A,1,0,Hatched
2015-09-26,AL,1,9,AL5,55.34,35.3,5,B,0,,Failed
2015-09-26,AL,1,9,AL6,49.22,37.47,6,A,0,,Failed
2015-09-29,AL,1,9,AL7,53.08,35.27,7,B,1,0,Hatched
2015-09-29,AL,1,9,AL8,52.62,36.6,8,A,1,0,Hatched
2015-09-29,AL,1,9,AL9,50.52,37.71,9,B,1,0,Hatched
2015-09-29,AN,1,12,AN1,53.68,36.94,1,A,1,1,Survived
2015-09-29,AN,1,12,AN10,54.92,37.85,10,B,0,,Failed
2015-09-29,AN,1,12,AN11,55.38,37.49,11,A,0,,Failed
2015-09-29,AN,1,12,AN12,52.42,36.36,12,C,1,1,Survived
2015-09-29,AN,1,12,AN2,56.34,37.85,2,A,1,0,Hatched
2015-09-29,AN,1,12,AN3,50.06,35.74,3,A,1,0,Hatched
2015-09-29,AN,1,12,AN4,52.63,37.7,4,B,0,,Failed
2015-09-29,AN,1,12,AN5,53.9,36.03,5,A,0,,Failed
2015-09-29,AN,1,12,AN6,51.05,36.2,6,B,0,,Failed
2015-09-29,AN,1,12,AN7,52.87,37.27,7,A,1,0,Hatched
2015-09-29,AN,1,12,AN8,49.29,34.51,8,C,1,0,Hatched
2015-09-29,AN,1,12,AN9,54.07,35.72,9,A,1,1,Survived
2015-10-03,AP,2,7,AP1,52.7,35.1,1,A,1,0,Hatched
2015-10-03,AP,2,7,AP2,55.55,36.37,2,B,1,0,Hatched
2015-10-03,AP,2,7,AP3,54.19,35.33,3,A,0,,Failed
2015-10-04,AP,2,7,AP4,51.66,34.67,4,B,0,,Failed
2015-10-04,AP,2,7,AP5,57.1,35.38,5,A,1,1,Survived
2015-10-04,AQ,2,7,AQ1,66.72,42.14,1,A,0,,Failed
2015-10-04,AQ,2,7,AQ2,55.23,36.37,2,A,0,,Failed
2015-10-04,AQ,2,7,AQ3,56.2,38.28,3,A,1,1,Survived
2015-10-04,AQ,2,7,AQ4,55.61,36.43,4,A,1,0,Hatched
2015-10-04,AQ,2,7,AQ5,53.53,37.75,5,B,1,0,Hatched
2015-10-04,AQ,2,7,AQ6,53.04,37.85,6,B,0,,Failed
2015-10-04,AQ,2,7,AQ7,51.99,37.07,7,B,0,,Failed
2015-10-06,AP,2,7,AP6,52.49,34.85,6,B,0,,Failed
2015-10-06,AP,2,7,AP7,54.89,35.99,7,A,1,0,Hatched
2015-10-23,AW,2,6,AW1,53.08,38.82,1,A,1,0,Hatched
2015-10-23,AW,2,6,AW2,52.52,39.17,2,A,1,1,Survived
2015-10-23,AW,2,6,AW3,53,38.6,3,B,1,0,Hatched
2015-10-23,AW,2,6,AW4,55.72,36.89,4,A,1,0,Hatched
2015-10-23,AW,2,6,AW5,53.98,36.54,5,B,0,,Failed
2015-10-23,AW,2,6,AW6,55.34,36.86,6,A,0,,Failed
2015-10-27,BE,2,7,BE1,56.27,37.17,1,A,1,0,Hatched
2015-10-27,BE,2,7,BE2,57.34,36.44,2,A,1,0,Hatched
2015-10-27,BE,2,7,BE3,55.77,36.91,3,B,1,0,Hatched
2015-10-27,BE,2,7,BE4,56.52,36.64,4,A,1,1,Survived
2015-10-27,BE,2,7,BE5,51.3,37.16,5,B,0,,Failed
2015-10-27,BE,2,7,BE6,51.29,38.2,6,A,0,,Failed
2015-10-27,BE,2,7,BE7,52.08,37.09,7,B,1,1,Survived
2015-10-27,BF,1,5,BF1,51.61,36.92,1,A,1,0,Hatched
2015-10-27,BF,2,5,BF2,52.24,36.25,2,A,1,0,Hatched
2015-10-27,BF,2,5,BF3,51.36,35.53,3,A,0,,Failed
2015-10-27,BF,2,5,BF4,51.48,36.2,4,A,0,,Failed
2015-10-27,BF,2,5,BF5,50.5,35.65,5,A,0,,Failed
2015-11-01,BK,2,5,BK1,50.85,37.15,1,A,1,0,Hatched
2015-11-01,BK,2,5,BK2,47.65,36.65,2,A,1,0,Hatched
2015-11-01,BK,2,5,BK3,49.45,36.65,3,A,1,1,Survived
2015-11-01,BK,2,5,BK4,49.85,36.15,4,A,1,0,Hatched
2015-11-01,BK,2,5,BK5,52.25,36.95,5,A,1,0,Hatched
2015-11-03,BL,2,7,BL1,55.75,35.15,1,A,0,,Failed
2015-11-03,BL,2,7,BL2,56.17,34.34,2,B,0,,Failed
2015-11-03,BL,2,7,BL3,48.71,37.12,3,A,1,0,Hatched
2015-11-03,BL,2,7,BL4,54.65,35.11,4,B,1,0,Hatched
2015-11-03,BL,2,7,BL5,56.23,34.84,5,A,1,0,Hatched
2015-11-03,BL,2,7,BL6,51.03,37.36,6,B,1,1,Survived
2015-11-03,BL,2,7,BL7,50.56,37.84,7,A,0,,Failed
2015-11-09,BO,2,5,BO1,56.05,36.36,1,A,0,,Failed
2015-11-09,BO,2,5,BO2,54.79,37.46,2,A,1,1,Survived
2015-11-09,BO,2,5,BO3,52.43,37.35,3,A,1,0,Hatched
2015-11-09,BO,2,5,BO4,52.7,36.95,4,A,1,0,Hatched
2015-11-09,BO,2,5,BO5,51.96,36.28,5,A,0,,Failed
2015-11-27,BS,2,5,BS1,53.38,36.7,1,A,0,,Failed
2015-11-27,BS,2,5,BS2,54.5,36.42,2,A,0,,Failed
2015-11-27,BS,2,5,BS3,53.66,36.19,3,A,1,0,Hatched
2015-11-27,BS,2,5,BS4,52.15,35.74,4,A,1,0,Hatched
2015-11-27,BS,2,5,BS5,52.32,37.04,5,A,1,1,Survived
2015-12-07,BT,2,6,BT1,53.63,37.01,1,A,1,0,Hatched
2015-12-07,BT,2,6,BT2,53.89,37.2,2,B,1,0,Hatched
2015-12-07,BT,2,6,BT3,53.65,35.86,3,A,0,,Failed
2015-12-07,BT,2,6,BT4,55.94,36.95,4,B,0,,Failed
2015-12-07,BT,2,6,BT5,53.37,37.4,5,A,0,,Failed
2015-12-07,BT,2,6,BT6,53.8,36.52,6,B,1,1,Survived
2015-12-07,BU,2,8,BU1,58.41,34.91,1,A,1,0,Hatched
2015-12-07,BU,2,8,BU2,54.66,36.05,2,A,1,0,Hatched
2015-12-07,BU,2,8,BU3,52.63,36.18,3,B,0,,Failed
2015-12-07,BU,2,8,BU4,53.76,35.77,4,A,0,,Failed
2015-10-28,BH,2,6,BH1,52.45,38.3,1,A,0,,Failed
2015-10-28,BH,1,6,BH2,48.55,36.6,2,B,1,0,Hatched
2015-10-28,BH,2,6,BH3,52.45,37.45,3,A,1,0,Hatched
2015-10-28,BH,2,6,BH4,53.8,37.7,4,B,1,1,Survived
2015-10-28,BH,2,6,BH5,52.65,38.25,5,A,1,0,Hatched
2015-10-28,BH,2,6,BH6,52.1,37.35,6,B,1,0,Hatched
2015-10-28,BI,2,8,BU5,51.9,36.35,5,A,1,1,Survived
2015-10-28,BI,2,8,BU6,55.05,36.6,6,B,0,,Failed
2015-10-28,BI,2,8,BU7,51.9,37.2,7,A,1,0,Hatched
2015-10-28,BI,2,8,BU8,47.5,36.3,8,B,1,0,Hatched
